state,traditional_method,se.traditional_method,year,pred,pred_upper,pred_lower
Africa:Senegal:Dakar,,,1990,0.0123263710176687,0.0335825629343432,0.0056560191348762
Africa:Senegal:Dakar,,,1991,0.0124192140280319,0.0303907996167138,0.0060200130394294
Africa:Senegal:Dakar,,,1992,0.0125482201927762,0.0269616909097164,0.0064107472992815
Africa:Senegal:Dakar,0.01628664495114,0.0057436846195933,1993,0.0127886073952385,0.023114342858228,0.0067789662246232
Africa:Senegal:Dakar,,,1994,0.0118308409102348,0.0243671028538978,0.0062650260635557
Africa:Senegal:Dakar,,,1995,0.0110669526652994,0.024622259011429,0.0057195632411069
Africa:Senegal:Dakar,,,1996,0.0103993746708896,0.0242448464860754,0.0052177800840339
Africa:Senegal:Dakar,,,1997,0.0098001480627331,0.0233952081051343,0.0047629690131057
Africa:Senegal:Dakar,,,1998,0.0092543592049543,0.0222276550664892,0.0043739456588757
Africa:Senegal:Dakar,,,1999,0.008750541762953,0.0208284876593844,0.0040427831033577
Africa:Senegal:Dakar,,,2000,0.0082825267122867,0.019252240189996,0.003776514111005
Africa:Senegal:Dakar,,,2001,0.0078422413986453,0.0175670171551427,0.0035704935679822
Africa:Senegal:Dakar,,,2002,0.007424708051222,0.0158364244082723,0.0034274776992277
Africa:Senegal:Dakar,,,2003,0.007024105708695,0.0140768726184159,0.0033449683378069
Africa:Senegal:Dakar,,,2004,0.0066318064053266,0.0123320810950238,0.0033368071562285
Africa:Senegal:Dakar,0.0057103460322711,0.0034797848354228,2005,0.0062343800969459,0.0106878972955268,0.0034457259016548
Africa:Senegal:Dakar,,,2006,0.005961774949304,0.0107521223854849,0.0029669484867332
Africa:Senegal:Dakar,,,2007,0.0056911451845135,0.0104942843723138,0.0026653140800572
Africa:Senegal:Dakar,,,2008,0.0054182231594234,0.0099692258450943,0.0024834182358123
Africa:Senegal:Dakar,,,2009,0.0051387357772163,0.0093129158539666,0.002401848590371
Africa:Senegal:Dakar,0.0036770997318895,0.0025987185659956,2010,0.0048315726096951,0.0086782011510275,0.0024507200499179
Africa:Senegal:Dakar,,,2011,0.0053131183218559,0.0094157661074749,0.0027823883807874
Africa:Senegal:Dakar,0.0,0.0,2012,0.0058086126012826,0.0103087781243958,0.003257163778614
Africa:Senegal:Dakar,,,2013,0.0054792185630238,0.0099899764580814,0.0029436752365353
Africa:Senegal:Dakar,0.0070391835828431,0.0067348095341042,2014,0.0051729675281816,0.0091123835291297,0.0028105718368927
Africa:Senegal:Dakar,0.004110791556796,0.0041475995402672,2015,0.0048907152651801,0.0086299424087037,0.0026429062737171
Africa:Senegal:Dakar,0.0,0.0,2016,0.0044758100240275,0.0081686528742186,0.0022771167985192
Africa:Senegal:Dakar,0.0010914317651073,0.0011055758356633,2017,0.0042000591272775,0.0078970186668346,0.0020926179460143
Africa:Senegal:Dakar,0.0056859232040855,0.0052281556618665,2018,0.0045775633658391,0.0082862851738493,0.0024219205183145
Africa:Senegal:Dakar,0.0,0.0,2019,0.0049737972505402,0.0092495327557582,0.002581248957726
Africa:Senegal:Dakar,,,2020,0.0049814784738842,0.0103679004420098,0.0023131924960757
Africa:Senegal:Dakar,,,2021,0.0049897934417123,0.011374056127148,0.0020976537996141
Africa:Senegal:Dakar,,,2022,0.0049963259296436,0.0123062879039109,0.0019189179183985
Africa:Senegal:Dakar,,,2023,0.0050026039033771,0.0132607615498513,0.0017697069648493
Africa:Senegal:Dakar,,,2024,0.0050096018712609,0.0142433090324833,0.0016398198188845
Africa:Senegal:Dakar,,,2025,0.0050155071601985,0.0152550109568309,0.0015286408595233
Africa:Senegal:Sédhiou,,,1990,0.0357721343688006,0.1032605413147611,0.0149863145606385
Africa:Senegal:Sédhiou,,,1991,0.0360828143425329,0.0947447025157678,0.0156922699486851
Africa:Senegal:Sédhiou,,,1992,0.03648841827774,0.0859659098713851,0.0163874994467296
