state,traditional_method,se.traditional_method,year,country,pred,pred_upper,pred_lower
Africa:Senegal:Dakar,,,1990,,0.0491950865958792,0.2172603235647123,0.0095725116134727
Africa:Senegal:Dakar,,,1991,,0.0463213664064317,0.192578829638295,0.0097797545919749
Africa:Senegal:Dakar,,,1992,,0.0435950140005707,0.1708664719285864,0.0099499466718353
Africa:Senegal:Dakar,0.0526315789473684,0.0393592443705939,1993,Senegal,0.0462615249391132,0.1451052031714,0.0137530979998461
Africa:Senegal:Dakar,,,1994,,0.0385655375913059,0.1355428645888392,0.0101560887565651
Africa:Senegal:Dakar,,,1995,,0.0362639137760948,0.1210815299117596,0.0101991598488574
Africa:Senegal:Dakar,,,1996,,0.0341077963165496,0.1085037591275301,0.0102054388871628
Africa:Senegal:Dakar,,,1997,,0.0320958363268777,0.0974414312753019,0.0101767777914488
Africa:Senegal:Dakar,,,1998,,0.0302242715722653,0.0877072802911577,0.0101124946019729
Africa:Senegal:Dakar,,,1999,,0.0284878544992964,0.0792134810443725,0.0100217425839056
Africa:Senegal:Dakar,,,2000,,0.0268803051022457,0.0717089313449947,0.0099129353423969
Africa:Senegal:Dakar,,,2001,,0.0253951046577934,0.0652062712932842,0.009788886825152
Africa:Senegal:Dakar,,,2002,,0.0240260493106017,0.0595001921200367,0.0096527783531403
Africa:Senegal:Dakar,,,2003,,0.0227673232700156,0.0545449633096155,0.0095013655856638
Africa:Senegal:Dakar,,,2004,,0.0216138796019661,0.050265036055978,0.0093315005269899
Africa:Senegal:Dakar,0.0202284380402825,0.0129701624105962,2005,Senegal,0.0179056056745723,0.0325580372860982,0.0099614307220835
Africa:Senegal:Dakar,,,2006,,0.019605741832302,0.0433919452537138,0.0089430997077908
Africa:Senegal:Dakar,,,2007,,0.0187385605407244,0.040708191327055,0.0087115622101757
Africa:Senegal:Dakar,,,2008,,0.0179522729497967,0.0384413008493521,0.008466211756471
Africa:Senegal:Dakar,,,2009,,0.0172410262901909,0.0365607450312099,0.0082010812767808
Africa:Senegal:Dakar,0.0202940721101956,0.0159118030179609,2010,Senegal,0.0112080665250262,0.0203234498330148,0.006243221804238
Africa:Senegal:Dakar,,,2011,,0.0160272749663715,0.0338761632614285,0.0075743995112355
Africa:Senegal:Dakar,0.0073774538164544,0.0082119042853299,2012,Senegal,0.0171217417913094,0.0302654467655697,0.0097496989501387
Africa:Senegal:Dakar,,,2013,,0.0149866038699905,0.0325424345230791,0.0067893077783632
Africa:Senegal:Dakar,0.0,0.0,2014,Senegal,0.0145417574953754,0.0279031171947911,0.0075722564213473
Africa:Senegal:Dakar,0.018771739726404,0.008861155200083,2015,Senegal,0.0189561435781665,0.0361136746383954,0.0098901004343479
Africa:Senegal:Dakar,0.0,0.0,2016,Senegal,0.0166764301896642,0.0349051862129351,0.0079278806937194
Africa:Senegal:Dakar,0.0393094614966349,0.0007611805547115,2017,Senegal,0.010563880300487,0.0238977223889252,0.0046314450126672
Africa:Senegal:Dakar,0.0187113811095436,0.0173656955752782,2018,Senegal,0.0124140439189451,0.028990233180426,0.0052671710841987
Africa:Senegal:Dakar,0.0,0.0,2019,Senegal,0.0115823583634542,0.0298825967759705,0.0044277932071904
Africa:Senegal:Dakar,,,2020,,0.0114653122421705,0.035506948466109,0.003572933971319
Africa:Senegal:Dakar,,,2021,,0.0110103663560346,0.0369037925083583,0.0031667661703174
Africa:Senegal:Dakar,,,2022,,0.0105731877553,0.038560789207116,0.0027913750191242
Africa:Senegal:Dakar,,,2023,,0.0101532687227882,0.0404968647682156,0.0024460531415111
Africa:Senegal:Dakar,,,2024,,0.0097500300776749,0.042721452579865,0.0021300646581709
Africa:Senegal:Dakar,,,2025,,0.0093627988517491,0.0453189645425381,0.001846741164735
Africa:Senegal:Sédhiou,,,1990,,0.0312448559658456,0.0951842052193567,0.0096502352389456
Africa:Senegal:Sédhiou,,,1991,,0.030602863023298,0.087875765789732,0.0099950138654321
Africa:Senegal:Sédhiou,,,1992,,0.0299580810128649,0.0817852518185589,0.0103064848551753
Africa:Senegal:Sédhiou,0.032520325203252,0.0136170447749664,1993,Senegal,0.0330207980105339,0.0666978412516249,0.0161171204037065
Africa:Senegal:Sédhiou,,,1994,,0.0286615803772263,0.0724631055100192,0.0107823913845715
Africa:Senegal:Sédhiou,,,1995,,0.0280262639353799,0.0688066424337825,0.0109464154812378
Africa:Senegal:Sédhiou,,,1996,,0.0274146908813736,0.065671285320488,0.0110663972484887
Africa:Senegal:Sédhiou,,,1997,,0.0268335764662223,0.0628869079587085,0.011147590814437
Africa:Senegal:Sédhiou,,,1998,,0.0262871435191755,0.0603675972918997,0.0111996710770231
Africa:Senegal:Sédhiou,,,1999,,0.0257771780512852,0.0581459452845017,0.0112256704579191
Africa:Senegal:Sédhiou,,,2000,,0.0253046256716185,0.0561209188380947,0.011244324341342
Africa:Senegal:Sédhiou,,,2001,,0.0248707698907334,0.0542645088153844,0.0112652115427911
Africa:Senegal:Sédhiou,,,2002,,0.0244772736378918,0.0525861840208926,0.0112953476358212
Africa:Senegal:Sédhiou,,,2003,,0.0241259844625899,0.0510825110146119,0.0113385736064086
Africa:Senegal:Sédhiou,,,2004,,0.0238196941718688,0.0497111518658861,0.0113963083041502
Africa:Senegal:Sédhiou,0.0238071450721015,0.0117575942725092,2005,Senegal,0.0205259461415482,0.0324691480079303,0.0130033324687996
Africa:Senegal:Sédhiou,,,2006,,0.0233571035467368,0.0473358797275604,0.0115519176450595
Africa:Senegal:Sédhiou,,,2007,,0.0232031452168716,0.0463480274591997,0.0116583749225112
