state,modern_method,se.modern_method,year,pred,pred_upper,pred_lower
Africa:Senegal:Dakar,,,1990,0.0428548514532085,0.0587414111253726,0.0310273387744506
Africa:Senegal:Dakar,,,1991,0.0428542776008559,0.0586569430906873,0.0310776232103959
Africa:Senegal:Dakar,,,1992,0.0428537277952125,0.0585705510025794,0.03112951501065
Africa:Senegal:Dakar,0.0347826086956521,0.0160417694980174,1993,0.0428501760049369,0.0584788120729498,0.0311795953353367
Africa:Senegal:Dakar,,,1994,0.0428596235570919,0.058453169918397,0.0312151420694268
Africa:Senegal:Dakar,,,1995,0.0428661575837451,0.0584095405727912,0.0312570377476924
Africa:Senegal:Dakar,,,1996,0.042872756452204,0.058364760314816,0.0312984509866204
Africa:Senegal:Dakar,,,1997,0.0428794597182808,0.0583193239725567,0.0313363070254998
Africa:Senegal:Dakar,,,1998,0.0428862627297046,0.0582724578450629,0.0313780705250622
Africa:Senegal:Dakar,,,1999,0.0428931557071313,0.0582236434187409,0.0314221309173054
Africa:Senegal:Dakar,,,2000,0.0429001456934395,0.0581747597320639,0.0314629524437738
Africa:Senegal:Dakar,,,2001,0.0429072387743139,0.0581291057767998,0.031503220847655
Africa:Senegal:Dakar,,,2002,0.0429144174631111,0.0580830574147755,0.0315466843330861
Africa:Senegal:Dakar,,,2003,0.0429216916050515,0.0580358608795266,0.0315924240171294
Africa:Senegal:Dakar,,,2004,0.0429290574914271,0.0579875888046875,0.0316332516218077
Africa:Senegal:Dakar,0.0387748819914576,0.0165008926933814,2005,0.042936883770125,0.0579244501407774,0.0316835943054067
Africa:Senegal:Dakar,,,2006,0.0429461255083249,0.0579195203842991,0.0317034331993882
Africa:Senegal:Dakar,,,2007,0.0429558248519055,0.0578995161518405,0.031732489437435
Africa:Senegal:Dakar,,,2008,0.042965622018354,0.0578781589011377,0.0317624230594873
Africa:Senegal:Dakar,,,2009,0.0429755205151305,0.0578554146818842,0.0317932015356784
Africa:Senegal:Dakar,0.0211229602307738,0.0198559118673487,2010,0.042942246558503,0.0577698096692086,0.0317919538818503
Africa:Senegal:Dakar,,,2011,0.0430403280958961,0.0578747396993225,0.0318905385725857
Africa:Senegal:Dakar,0.0831137179849526,0.0331939883714725,2012,0.0431171189024896,0.0579334047156079,0.0319797303083076
Africa:Senegal:Dakar,,,2013,0.0431126343963075,0.0579315519342548,0.0319736889267435
Africa:Senegal:Dakar,0.0632753000326095,0.0227162326967753,2014,0.043184010143292,0.0580006588201456,0.032044337825266
Africa:Senegal:Dakar,0.01475646992444,0.0141681289596628,2015,0.0431098968003318,0.0579244670636667,0.0319726021815276
Africa:Senegal:Dakar,0.0441453131874824,0.0250207670798144,2016,0.0430038715327522,0.0577922143678278,0.031879541586299
Africa:Senegal:Dakar,0.0378610649581959,0.0131705817760596,2017,0.042921604283035,0.0576996477281937,0.031800777807053
Africa:Senegal:Dakar,0.0297058649861963,0.0221033485788285,2018,0.0429466132769892,0.0578138555602905,0.0317696540362745
Africa:Senegal:Dakar,0.0165364411519358,0.0161028737882591,2019,0.0429129953688291,0.0578451128258071,0.0316936662671772
Africa:Senegal:Dakar,,,2020,0.0429262140600054,0.057950336291197,0.0316505581632973
Africa:Senegal:Dakar,,,2021,0.042926504067644,0.0580330020786769,0.031602419408739
Africa:Senegal:Dakar,,,2022,0.0429267974297773,0.0581140976315878,0.0315483089968252
Africa:Senegal:Dakar,,,2023,0.0429271066550181,0.0582025012965323,0.0314979545686701
Africa:Senegal:Dakar,,,2024,0.0429274391713411,0.0582908222336578,0.0314507144675081
Africa:Senegal:Dakar,,,2025,0.0429277981595533,0.0583752054556642,0.0313971078159568
Africa:Senegal:Sédhiou,,,1990,0.0873952627695277,0.1343813306841523,0.0544562991666145
Africa:Senegal:Sédhiou,,,1991,0.0873948806515279,0.1342622897467029,0.054509569717139
Africa:Senegal:Sédhiou,,,1992,0.0873941542907842,0.1341357633913055,0.0545622752455956
Africa:Senegal:Sédhiou,0.0,0.0,1993,0.0873876665610997,0.1339912739621634,0.0546123857448286
Africa:Senegal:Sédhiou,,,1994,0.0873958685196396,0.1339024193276388,0.054665246477196
Africa:Senegal:Sédhiou,,,1995,0.0873982136773735,0.1338092795610676,0.0547158310617849
Africa:Senegal:Sédhiou,,,1996,0.0874001643600239,0.1337098059191211,0.0547661510007451
Africa:Senegal:Sédhiou,,,1997,0.0874017000643896,0.1336078170067387,0.0548162062984721
Africa:Senegal:Sédhiou,,,1998,0.0874028210258344,0.1335034072954066,0.0548660245732073
Africa:Senegal:Sédhiou,,,1999,0.087403527678152,0.1333967495169083,0.0549156302109632
Africa:Senegal:Sédhiou,,,2000,0.0874038203116923,0.1332880928211514,0.0549650419405922
Africa:Senegal:Sédhiou,,,2001,0.087403698718954,0.1331777553887039,0.0550142707427531
Africa:Senegal:Sédhiou,,,2002,0.0874031618830017,0.1330661114994498,0.0550633183215415
Africa:Senegal:Sédhiou,,,2003,0.0874022077621405,0.1329535737096674,0.055112176312415
Africa:Senegal:Sédhiou,,,2004,0.0874008332120177,0.1328531441443698,0.0551608263295205
Africa:Senegal:Sédhiou,0.0755596596618209,0.067029226370691,2005,0.0874001154116085,0.1327359761331113,0.0552178251125381
