state,unmet_need,se.unmet_need,year,pred,pred_upper,pred_lower
Africa:Senegal:Dakar,,,1990,0.2491624257757758,0.3227783754385809,0.1882941179252593
Africa:Senegal:Dakar,,,1991,0.2488858797395987,0.3126996619954565,0.1949826191812066
Africa:Senegal:Dakar,,,1992,0.2483283078783874,0.3008205047018285,0.2027596839333451
Africa:Senegal:Dakar,0.2437869822485207,0.0200073363281465,1993,0.2474488123841456,0.2856636624655066,0.2130297879868134
Africa:Senegal:Dakar,,,1994,0.2489101638358763,0.2983844466391969,0.2057254745491535
Africa:Senegal:Dakar,,,1995,0.2500430793147781,0.3071885804480276,0.2012269470941651
Africa:Senegal:Dakar,,,1996,0.2508932791368236,0.3134687176473179,0.1982255023406698
Africa:Senegal:Dakar,,,1997,0.2514592423060662,0.3176574788009133,0.1962742231328756
Africa:Senegal:Dakar,,,1998,0.2517400510052549,0.3199732040646285,0.1952201307806947
Africa:Senegal:Dakar,,,1999,0.2517353320643142,0.3204848686769889,0.1949518403755326
Africa:Senegal:Dakar,,,2000,0.251445403301902,0.3192109200592206,0.1954390111763752
Africa:Senegal:Dakar,,,2001,0.2508713652333637,0.3160996835319941,0.1967368343114303
Africa:Senegal:Dakar,,,2002,0.2500155160802154,0.3110153827326573,0.1989984594975535
Africa:Senegal:Dakar,,,2003,0.2488824433046529,0.3036700734334447,0.2024328418709343
Africa:Senegal:Dakar,,,2004,0.2474795448517647,0.2934903088306373,0.2076523716981543
Africa:Senegal:Dakar,0.2499723640404315,0.0193714262435475,2005,0.2459450450659814,0.2785305337823479,0.2166391575698135
Africa:Senegal:Dakar,,,2006,0.2397026538139083,0.2815345581835331,0.2032515784249329
Africa:Senegal:Dakar,,,2007,0.233440406345206,0.2784291918415527,0.1947552405200079
Africa:Senegal:Dakar,,,2008,0.2270370936180144,0.2709984000810988,0.1892860795514586
Africa:Senegal:Dakar,,,2009,0.2205033365943039,0.2594142192457284,0.1867404288489624
Africa:Senegal:Dakar,0.2263437777529405,0.0203227179056858,2010,0.2137872197253636,0.2422160449463788,0.1884959735536948
Africa:Senegal:Dakar,,,2011,0.2059222190004269,0.2387184097481597,0.1770025555116775
Africa:Senegal:Dakar,0.1761560433084007,0.0233377133609729,2012,0.1984589428616569,0.2266070326424064,0.1725988870332166
Africa:Senegal:Dakar,,,2013,0.1831357828646573,0.2133534637808723,0.1563033223582781
Africa:Senegal:Dakar,0.174694069511763,0.0280490373323454,2014,0.1689049431480165,0.1930660961267269,0.1469182290720692
Africa:Senegal:Dakar,0.1568650954134102,0.0223960551174313,2015,0.1570051556246422,0.1782507709191501,0.1374434744750025
Africa:Senegal:Dakar,0.1403784138521532,0.0160887063707577,2016,0.1412004439720662,0.159465054352356,0.1242589871409307
Africa:Senegal:Dakar,0.1012404978512242,0.011791848700226,2017,0.1309788494176655,0.1482154765030391,0.1148461362809717
Africa:Senegal:Dakar,0.1125014212466007,0.0144971372196496,2018,0.1299119062427851,0.1481822539611144,0.1132677562902706
Africa:Senegal:Dakar,0.1629869738280865,0.0189507120698669,2019,0.1352711088372788,0.1571533118214849,0.1163168873397339
Africa:Senegal:Dakar,,,2020,0.1364130823260952,0.1685302963492932,0.1099323396901412
Africa:Senegal:Dakar,,,2021,0.1373152879424559,0.1776032969196985,0.105395442662567
Africa:Senegal:Dakar,,,2022,0.1380383686814469,0.1855312361431124,0.1016766484775037
Africa:Senegal:Dakar,,,2023,0.1385817626195382,0.1926086996685449,0.0984168084220413
Africa:Senegal:Dakar,,,2024,0.1389444677611754,0.1989871748736135,0.0954641534487922
Africa:Senegal:Dakar,,,2025,0.1391255900862317,0.204750041255002,0.0927072809098748
Africa:Senegal:Sédhiou,,,1990,0.2214429816819031,0.3015565912784663,0.1568735761495703
Africa:Senegal:Sédhiou,,,1991,0.2213701470270945,0.2938023803548952,0.161765343441342
Africa:Senegal:Sédhiou,,,1992,0.2212262841503108,0.2854266565274255,0.1671650181156552
Africa:Senegal:Sédhiou,0.2121212121212121,0.0355163098985538,1993,0.2209677042650872,0.2759139397783615,0.1734191530056418
Africa:Senegal:Sédhiou,,,1994,0.2225202833558999,0.2822436080535846,0.1714458400519622
Africa:Senegal:Sédhiou,,,1995,0.2239635501659493,0.2870975790095381,0.1703527956980943
Africa:Senegal:Sédhiou,,,1996,0.2253405219734693,0.2909315226688123,0.1699204175574807
Africa:Senegal:Sédhiou,,,1997,0.2266518342464653,0.2937872759961065,0.1700346814142233
Africa:Senegal:Sédhiou,,,1998,0.2278974889846849,0.2957834197701972,0.1706627418080862
Africa:Senegal:Sédhiou,,,1999,0.2290775485531795,0.2968205720586945,0.1718131056817129
Africa:Senegal:Sédhiou,,,2000,0.2301921956739291,0.2969012761808555,0.1734997792119256
Africa:Senegal:Sédhiou,,,2001,0.231241931788751,0.2959778648130489,0.1757724455852769
Africa:Senegal:Sédhiou,,,2002,0.2322277985594013,0.2939024535942907,0.1787195213354709
Africa:Senegal:Sédhiou,,,2003,0.2331529340699885,0.2905577919211417,0.1824697969478228
Africa:Senegal:Sédhiou,,,2004,0.2340226601212853,0.2856408718441632,0.1872692423456695
Africa:Senegal:Sédhiou,0.1851982971926394,0.0317216157636279,2005,0.2349624552680789,0.2783881629882358,0.1938907317745528
Africa:Senegal:Sédhiou,,,2006,0.2377332478603647,0.2859147937318466,0.1935794140106994
Africa:Senegal:Sédhiou,,,2007,0.2405986437080437,0.2902175907707998,0.195659721057364
Africa:Senegal:Sédhiou,,,2008,0.2434281000647705,0.2915564713019811,0.199866544975188
Africa:Senegal:Sédhiou,,,2009,0.2462110553153155,0.2894668140976332,0.206682884209025
Africa:Senegal:Sédhiou,0.231660419770044,0.0258550063989749,2010,0.2488521356909386,0.2820439529482564,0.2178462595701324
Africa:Senegal:Sédhiou,,,2011,0.2578937934074088,0.2952760910753269,0.2240988494706206
Africa:Senegal:Sédhiou,0.3007969522469387,0.0257965107838803,2012,0.2675812745659423,0.2986251001168166,0.2393177855877352
Africa:Senegal:Sédhiou,,,2013,0.254015039391133,0.2881086123069827,0.2234994660815238
Africa:Senegal:Sédhiou,0.2324130129919629,0.0193150798644898,2014,0.2413341110175618,0.2657100135302246,0.2187603796518032
Africa:Senegal:Sédhiou,0.2519838607145763,0.0162250299792687,2015,0.2353388685953445,0.25679234052554,0.2154877176043715
Africa:Senegal:Sédhiou,0.1971570408800092,0.0172142132395012,2016,0.2145050898450185,0.2361925598562858,0.1941344473620576
Africa:Senegal:Sédhiou,0.2047753655449756,0.0203530487188045,2017,0.2072458490530306,0.2306907187405969,0.1855301241479597
Africa:Senegal:Sédhiou,0.1835254659313641,0.0297709866571424,2018,0.2018914444358167,0.2295974758773727,0.1768071574620625
Africa:Senegal:Sédhiou,0.2173176600106053,0.0279990561562192,2019,0.2026509349760575,0.2346181828071888,0.1744712097781744
Africa:Senegal:Sédhiou,,,2020,0.2031529219413472,0.2475698131704248,0.1651733968026324
Africa:Senegal:Sédhiou,,,2021,0.2034864387569469,0.2578345434551558,0.1583103779504324
Africa:Senegal:Sédhiou,,,2022,0.2037492941112542,0.2668523633893794,0.1526490190961943
